Supplier Type,Supplier Name,Vlookup1,Vlookup2,DGS Certification,Supplier ID,Supplier #,PO ID,PO #,PO Date,Ln-Sch-Dst,Line Descr,NIGP,O/I,Category,Goods (Amt),Services (Amt),Construction (Amt),IT (Amt),
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026096,0,11/14/23,11 01 01,Item #760238127,88000,,GOODS,"-$2,567.08",$0.00,$0.00,$0.00,
OSB,"CARROLL,J",THE J.CARROLL CORP,MB,MB,654,1,2000015144,1,2/9/18,01 01 01,Provide screen printing and embroidery s,20000,,GOODS,"-$2,536.73",$0.00,$0.00,$0.00,
MB,"CARROLL,J","CARROLL,J",MB,MB,654,0,2000015144,0,2/9/18,01 01 01,Provide screen printing and embroidery s,20000,,GOODS,"-$2,536.73",$0.00,$0.00,$0.00,
,B&H PHOTO & VIDEO,,,LRG,976,0,2000028038,0,1/31/24,01 01 02,IKAN LYRA 1x2 DAYLIGHT STUDIO LIGHT w/DM,28545,,GOODS,"-$2,500.05",$0.00,$0.00,$0.00,
,MULLAHEY FORD INC,,,LRG,41815,0,2000024535,0,9/1/22,02 01 01,CA state sales tax @ 7.25%,7000,,GOODS,"-$2,463.80",$0.00,$0.00,$0.00,
,MULLAHEY FORD INC,,,LRG,41815,0,2000025166,1,3/1/23,02 01 01,Sales Tax,96200,,GOODS,"-$2,442.16",$0.00,$0.00,$0.00,
,MULLAHEY FORD INC,,,LRG,41815,0,2000025171,1,3/1/23,02 01 01,Sales Tax,96200,,GOODS,"-$2,442.16",$0.00,$0.00,$0.00,
,SANOFI PASTEUR INC,,,LRG,2422,0,2000027504,0,10/24/23,03 01 01,Credit for Returned Influenza Vaccine Fl,26900,,GOODS,"-$2,385.69",$0.00,$0.00,$0.00,
OSB,"CARROLL,J",THE J.CARROLL CORP,MB,MB,654,0,2000023796,0,5/12/22,03 01 01,Facilities - Facilities Planning - Unifo,20000,,GOODS,"-$2,281.06",$0.00,$0.00,$0.00,
MB,"CARROLL,J","CARROLL,J",MB,MB,654,0,2000023796,0,5/12/22,03 01 01,Facilities - Facilities Planning - Unifo,20000,,GOODS,"-$2,281.06",$0.00,$0.00,$0.00,
,MULLAHEY FORD INC,,,LRG,41815,0,2000027895,0,1/18/24,02 01 01,2024 F350 Long Bed 4X4 DRW,7000,,GOODS,"-$2,276.92",$0.00,$0.00,$0.00,
,GLAXOSMITHKLINE FIN INC,,,LRG,7489,0,2000027565,0,10/31/23,03 01 01,Credit for Returned Influenza Vaccine Fl,26900,,GOODS,"-$2,146.26",$0.00,$0.00,$0.00,
CAL/LOC,SAN LUIS AUTO PARTS,,,LRG,213,0,2000026685,0,7/12/23,01 01 01,Auto Parts,6000,,GOODS,"-$2,145.00",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026095,0,11/14/23,03 01 01,shipping cost,88000,,GOODS,"-$2,103.80",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026096,0,11/14/23,34 01 01,UTP6P,88000,,GOODS,"-$2,100.88",$0.00,$0.00,$0.00,
OSB,"BKM OFFICE ENVIRONMENTS,I","BKM OFFICE ENVIRONMENTS,I",SB,SB,3699,0,2000025877,1,3/24/23,01 01 01,Ology Base Rectangle Extended Height Des,93900,,GOODS,"-$2,074.43",$0.00,$0.00,$0.00,
OSB,"BKM OFFICE ENVIRONMENTS,I","BKM OFFICE ENVIRONMENTS,I",SB,SB,3699,0,2000026436,0,5/30/23,03 01 01,Change Order #2 Per quote 45664 dated 11,57800,,GOODS,"-$2,069.82",$0.00,$0.00,$0.00,
,"CONTINENTAL RESOURCES, IN",,,LRG,47273,0,2000026676,0,7/6/23,02 01 01,EDU discount,49000,,GOODS,"-$2,027.03",$0.00,$0.00,$0.00,
,"CONTINENTAL RESOURCES, IN",,,LRG,47273,0,2000026676,0,7/6/23,01 01 01,2604B - Bench Sourcemeter,49000,,GOODS,"-$2,027.02",$0.00,$0.00,$0.00,
,CUSTOM INK LLC,,,LRG,33591,0,2000025958,0,4/6/23,03 01 01,Canvas Tote Bag,57800,,GOODS,"-$1,988.42",$0.00,$0.00,$0.00,
OSB,"CARROLL,J",THE J.CARROLL CORP,MB,MB,654,0,2000023796,0,5/12/22,02 01 01,Facilities - Recharge Uniform for Staff,20000,,GOODS,"-$1,934.40",$0.00,$0.00,$0.00,
MB,"CARROLL,J","CARROLL,J",MB,MB,654,0,2000023796,0,5/12/22,02 01 01,Facilities - Recharge Uniform for Staff,20000,,GOODS,"-$1,934.40",$0.00,$0.00,$0.00,
OSB,"BKM OFFICE ENVIRONMENTS,I","BKM OFFICE ENVIRONMENTS,I",SB,SB,3699,0,2000024376,0,8/15/22,03 01 01,AM52 - Screen-Modesty Universal clamp 52,28700,,GOODS,"-$1,896.18",$0.00,$0.00,$0.00,
OSB,"BKM OFFICE ENVIRONMENTS,I","BKM OFFICE ENVIRONMENTS,I",SB,SB,3699,0,2000022516,1,10/20/21,10 01 01,Change Order #3 per quotes 43343 42715 4,96200,,GOODS,"-$1,790.10",$0.00,$0.00,$0.00,
OSB,"BKM OFFICE ENVIRONMENTS,I","BKM OFFICE ENVIRONMENTS,I",SB,SB,3699,0,2000026894,0,8/21/23,26 01 01,RDI,49000,,GOODS,"-$1,752.78",$0.00,$0.00,$0.00,
CAL,FISHER SCIENTIFIC,,,LRG,127,1,2000024512,1,8/30/22,03 01 01,15500207 - PLANT GROWTH LIGHT MODULE Lig,49000,,GOODS,"-$1,744.91",$0.00,$0.00,$0.00,
,TENNIS WAREHOUSE,,,LRG,31861,0,2000016672,1,9/21/18,05 01 01,FY 22/23 Men's Tennis Team Equipment,80500,,GOODS,"-$1,535.90",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000024488,1,9/7/22,01 01 01,Equipment 53-110,88000,,GOODS,"-$1,516.08",$0.00,$0.00,$0.00,
OSB,"CARROLL,J",THE J.CARROLL CORP,MB,MB,654,0,2000015144,0,2/9/18,02 01 01,Provide screen printing and embroidery s,20000,,GOODS,"-$1,500.00",$0.00,$0.00,$0.00,
MB,"CARROLL,J","CARROLL,J",MB,MB,654,0,2000015144,0,2/9/18,02 01 01,Provide screen printing and embroidery s,20000,,GOODS,"-$1,500.00",$0.00,$0.00,$0.00,
,"BILL GAINES AUDIO, INC",,,LRG,6910,0,2000026034,1,4/12/23,01 01 01,Deposit Audio Visual for Frost Center De,98100,,GOODS,"-$1,491.50",$0.00,$0.00,$0.00,
,"BILL GAINES AUDIO, INC",,,LRG,6910,0,2000026034,0,4/12/23,02 01 01,Final Audio Visual for the Frost Center,98100,,GOODS,"-$1,491.50",$0.00,$0.00,$0.00,
OSB,PRINTPAL PROMOTIONS & PRI,PRINTPAL PROMOTIONS & PRINTING,SB(Micro),MB,16817,0,2000025490,0,2/2/23,11 01 01,16oz Bistro Glossy Mug - 1 Color/1 Locat,57800,,GOODS,"-$1,420.85",$0.00,$0.00,$0.00,
MB,PRINTPAL PROMOTIONS & PRI,PRINTPAL PROMOTIONS & PRINTING,SB(Micro),MB,16817,0,2000025490,0,2/2/23,11 01 01,16oz Bistro Glossy Mug - 1 Color/1 Locat,57800,,GOODS,"-$1,420.85",$0.00,$0.00,$0.00,
,"HORIBA INSTRUMENTS, INC",,,LRG,11294,0,2000028374,0,3/11/24,01 01 01,Instrument Repair and Service,49000,,GOODS,"-$1,416.86",$0.00,$0.00,$0.00,
,MULLAHEY FORD INC,,,LRG,41815,0,2000024535,0,9/1/22,01 01 02,2022/2023 Ford Transit Connect with ladd,7000,,GOODS,"-$1,411.46",$0.00,$0.00,$0.00,
OSB,PRINTPAL PROMOTIONS & PRI,PRINTPAL PROMOTIONS & PRINTING,SB(Micro),MB,16817,0,2000025490,0,2/2/23,07 01 01,Stemless Wine Glass - Green Logo/1 Locat,57800,,GOODS,"-$1,359.07",$0.00,$0.00,$0.00,
MB,PRINTPAL PROMOTIONS & PRI,PRINTPAL PROMOTIONS & PRINTING,SB(Micro),MB,16817,0,2000025490,0,2/2/23,07 01 01,Stemless Wine Glass - Green Logo/1 Locat,57800,,GOODS,"-$1,359.07",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000024487,1,9/7/22,01 01 01,Equipment 180-331,88000,,GOODS,"-$1,218.12",$0.00,$0.00,$0.00,
,CUSTOM INK LLC,,,LRG,33591,0,2000025958,0,4/6/23,02 01 01,Translucent Bike Water Bottle,57800,,GOODS,"-$1,190.48",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026100,0,8/31/23,22 01 01,EXTRON DTP T DWP 4K 332 D,88000,,GOODS,"-$1,156.88",$0.00,$0.00,$0.00,
,VALMETAL TULARE INC,,,LRG,55767,0,2000028006,0,1/25/24,08 01 01,Discount 10%,2000,,GOODS,"-$1,148.00",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026096,0,11/14/23,51 01 01,line not used,88000,,GOODS,"-$1,147.69",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026099,0,11/14/23,22 01 01,"Da-Lite 6"" Extension Wall brackets",88000,,GOODS,"-$1,135.45",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026240,1,5/24/23,01 01 01,Equipment 14-302,20700,,GOODS,"-$1,111.99",$0.00,$0.00,$0.00,
CAL,SIERRA SCH EQUIP  CO,,,LRG,3054,0,2000026950,0,8/9/23,06 01 02,Labor,42500,,GOODS,"-$1,110.00",$0.00,$0.00,$0.00,
OSB,"BKM OFFICE ENVIRONMENTS,I","BKM OFFICE ENVIRONMENTS,I",SB,SB,3699,0,2000026133,0,7/13/23,31 01 01,BKM Credit- Brad's Office,42500,,GOODS,"-$1,072.50",$0.00,$0.00,$0.00,
,LAGUNA TOOLS INC,,,LRG,53300,0,2000026953,0,8/10/23,05 01 01,Discount,54500,,GOODS,"-$1,033.78",$0.00,$0.00,$0.00,
,B&H PHOTO & VIDEO,,,LRG,976,0,2000028038,0,1/31/24,02 01 02,IKAN LWX8 LYRA DAYLIGHT STUDIO LIGHT w/D,28545,,GOODS,"-$1,019.19",$0.00,$0.00,$0.00,
OSB,"CARROLL,J",THE J.CARROLL CORP,MB,MB,654,0,2000016450,1,8/9/18,03 01 01,Screen Printing and Embroidery for Women,20000,,GOODS,"-$1,004.72",$0.00,$0.00,$0.00,
MB,"CARROLL,J","CARROLL,J",MB,MB,654,0,2000016450,0,8/9/18,03 01 01,Screen Printing and Embroidery for Women,20000,,GOODS,"-$1,004.72",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026100,0,8/31/23,42 01 01,DA-LITE 79884,88000,,GOODS,"-$1,003.33",$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026099,0,11/14/23,42 01 01,SPC-16-2-P,88000,,GOODS,-$968.33,$0.00,$0.00,$0.00,
OSB,"BKM OFFICE ENVIRONMENTS,I","BKM OFFICE ENVIRONMENTS,I",SB,SB,3699,0,2000024376,0,8/15/22,07 01 01,CA state sales tax @ 7.25%,28700,,GOODS,-$948.88,$0.00,$0.00,$0.00,
,BREAD ZEPPELINS DBA SIREN,,,LRG,55896,0,2000027646,0,11/15/23,02 01 01,450@$24.00/each - Taco Bar | Choice of T,3700,,GOODS,-$945.00,$0.00,$0.00,$0.00,
OSB,"CARROLL,J",THE J.CARROLL CORP,MB,MB,654,0,2000019249,1,11/4/19,02 01 01,20-21 FY SCREEN PRINTING & EMBRIODERY BA,96200,,GOODS,-$943.59,$0.00,$0.00,$0.00,
MB,"CARROLL,J","CARROLL,J",MB,MB,654,0,2000019249,0,11/4/19,02 01 01,20-21 FY SCREEN PRINTING & EMBRIODERY BA,96200,,GOODS,-$943.59,$0.00,$0.00,$0.00,
OSB,"BKM OFFICE ENVIRONMENTS,I","BKM OFFICE ENVIRONMENTS,I",SB,SB,3699,0,2000024940,0,11/2/22,05 01 01,Change Order #1 - Rm 210 MATERIAL INCLUD,96200,,GOODS,-$930.65,$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026095,0,11/14/23,42 01 01,ME-33 Boundary Microphone,88000,,GOODS,-$907.17,$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026448,0,5/31/23,03 01 01,Emergency after hours support for Gradua,96200,,GOODS,-$900.00,$0.00,$0.00,$0.00,
OSB,LEFT COAST ENTERPRISES DB,"LEFT COAST ENTERPRISES, INC",SB(MICRO),MB,8780,0,2000027207,0,9/8/23,10 01 01,Tax,57800,,GOODS,-$891.07,$0.00,$0.00,$0.00,
OSB,"BKM OFFICE ENVIRONMENTS,I","BKM OFFICE ENVIRONMENTS,I",SB,SB,3699,0,2000024376,0,8/15/22,05 01 01,RDI - Receive Deliver and Install BKM,96200,,GOODS,-$874.85,$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026096,0,11/14/23,35 01 01,CMR-203,88000,,GOODS,-$836.12,$0.00,$0.00,$0.00,
OSB,"A-TOWN AV, INC.","A-TOWN AV, INC.",MB,MB,34932,0,2000026243,1,5/24/23,01 01 01,Equipment 14-303,45000,,GOODS,-$822.94,$0.00,$0.00,$0.00,
,"ALL-FILL,INC",,,LRG,56969,0,2000027055,0,8/18/23,01 01 01,Filler Model B-600 w/ Accessories,32000,,GOODS,-$812.19,$0.00,$0.00,$0.00,
,VWR SCIENTIFIC,,,LRG,243,0,2000027333,0,10/2/23,01 01 01,FN7439  - 1 EA Laminar Fume Hood/Nexus C,57800,,GOODS,-$794.01,$0.00,$0.00,$0.00,
,"CONTINENTAL RESOURCES, IN",,,LRG,47273,0,2000026676,0,7/6/23,06 01 01,EDU discount,49000,,GOODS,-$768.98,$0.00,$0.00,$0.00,
