Report ID:,CSUPO001,SLCMP - Cal Poly San Luis Obispo,Page No :,1,,,,,,,,,,
,9917,ABET INC,2000027091,8/25/23,06 01 01,US23M0203 FY22 BOD COVID Credit 10/1/22,96200,,0,-700,0,0,2,2023
,9917,ABET INC,2000027091,8/25/23,07 01 01,US23M0204 Base Accreditation Fee 10/1/22,96200,,0,715,0,0,2,2023
,9917,ABET INC,2000027091,8/25/23,08 01 01,US23M0204 ETAC Program Fee 10/1/22 - 9/3,96200,,0,715,0,0,2,2023
,9917,ABET INC,2000027091,8/25/23,09 01 01,US23M0204 BOD COVID Credit 10/1/22 - 9/3,96200,,0,-100,0,0,2,2023
,9917,ABET INC,2000027742,11/29/23,01 01 01,CAC Base accreditation maintenance fee 1,96200,,0,800,0,0,5,2023
,9917,ABET INC,2000027742,11/29/23,02 01 01,CAC Program fee 10/1/23-9/30/24,96200,,0,800,0,0,5,2023
,9917,ABET INC,2000027742,11/29/23,03 01 01,EAC Base accreditation maintenance fee 1,96200,,0,800,0,0,5,2023
,9917,ABET INC,2000027742,11/29/23,04 01 01,EAC Program fee 10/1/23-9/30/24,96200,,0,"10,400.00",0,0,5,2023
,9917,ABET INC,2000027742,11/29/23,05 01 01,ETAC Base accreditation maintenance fee,96200,,0,800,0,0,5,2023
,9917,ABET INC,2000027742,11/29/23,06 01 01,ETAC Program fee 10/1/23-9/30/24,96200,,0,800,0,0,5,2023
,41739,ABR ENTERPRISES DBA AVILA,2000027376,10/9/23,01 01 01,Breakfast Burritos,3700,,"2,316.60",0,0,0,4,2023
,41739,ABR ENTERPRISES DBA AVILA,2000027376,10/9/23,02 01 01,Box Lunches,3700,,"2,625.48",0,0,0,4,2023
,41739,ABR ENTERPRISES DBA AVILA,2000027376,10/9/23,03 01 01,20% Service Charge,3700,,921.6,0,0,0,4,2023
,41739,ABR ENTERPRISES DBA AVILA,2000027376,10/9/23,04 01 01,Tables & Chairs,3700,,500,0,0,0,4,2023
,41739,ABR ENTERPRISES DBA AVILA,2000027376,10/9/23,06 01 01,Table Linens,3700,,100,0,0,0,4,2023
,41739,ABR ENTERPRISES DBA AVILA,2000027460,10/12/23,01 01 01,Tournament Fee,3700,,"6,900.00",0,0,0,4,2023
,57812,"ACADEMIC HEALTHPLANS, INC",2000028220,2/16/24,01 01 01,International Student Health Insurance W,95300,,0,"92,250.00",0,0,8,2023
,57812,"ACADEMIC HEALTHPLANS, INC",2000028220,2/16/24,02 01 01,International Student Health Insurance -,95300,,0,"82,824.00",0,0,11,2023
,21210,ACADEMIC INITIATIVES ABRO,2000028323,4/11/24,01 01 01,Vendor services for: Student & faculty l,96200,,0,"63,360.00",0,0,10,2023
,55596,"ACADEMIC SEARCH, INC.",2000027381,10/10/23,01 01 01,Consulting Fees - CAED Dean Search,91800,,0,"45,000.00",0,0,4,2023
,55596,"ACADEMIC SEARCH, INC.",2000027381,10/10/23,01 01 01,Consulting Fees - CAED Dean Search,91800,,0,"-35,000.00",0,0,11,2023
,55596,"ACADEMIC SEARCH, INC.",2000027381,10/10/23,02 01 01,Advertisement Fees - CAED Dean Search,91800,,0,"4,735.00",0,0,4,2023
,55596,"ACADEMIC SEARCH, INC.",2000027381,10/10/23,03 01 01,Social media checks internet research an,91800,,0,"2,975.00",0,0,4,2023
,55596,"ACADEMIC SEARCH, INC.",2000027381,10/10/23,03 01 01,Social media checks internet research an,91800,,0,"-2,975.00",0,0,11,2023
,55596,"ACADEMIC SEARCH, INC.",2000027381,10/10/23,04 01 01,Travel - Reimbursed Upon Presented Recei,91800,,0,"2,654.01",0,0,9,2023
,46054,"ADDIUM, INC.",2000027259,9/21/23,01 01 01,40910 Aqualab 4TE Water Activity Meter (,49000,,"12,548.25",0,0,0,3,2023
,46054,"ADDIUM, INC.",2000027259,9/21/23,02 01 01,Shipping and Handling,96200,,0,48.26,0,0,3,2023
,46054,"ADDIUM, INC.",2000027259,9/21/23,02 01 01,Shipping and Handling,96200,,0,-3.26,0,0,5,2023
DVB,20001,ADVANCED BIOMEDICAL,2000024365,8/18/22,01 01 01,Annual Inspection of Medical/Clinical In,93800,,0,-252,0,0,4,2023
DVB,20001,ADVANCED BIOMEDICAL,2000024365,8/18/22,02 01 01,Annual Inspection of Lab Medical Instruc,93800,,0,-576,0,0,4,2023
DVB,20001,ADVANCED BIOMEDICAL,2000027032,8/21/23,01 01 01,Annual Inspection of Medical/clinical In,93800,,0,"3,168.00",0,0,2,2023
DVB,20001,ADVANCED BIOMEDICAL,2000027032,8/21/23,01 01 01,Annual Inspection of Medical/clinical In,93800,,0,"3,124.00",0,0,3,2023
DVB,20001,ADVANCED BIOMEDICAL,2000027032,8/21/23,02 01 01,Annual Inspection Of Lab Instruments,93800,,0,660,0,0,2,2023
DVB,20001,ADVANCED BIOMEDICAL,2000027032,8/21/23,03 01 01,Travel Time,93800,,0,95,0,0,2,2023
DVB,20001,ADVANCED BIOMEDICAL,2000027032,8/21/23,03 01 01,Travel Time,93800,,0,380,0,0,3,2023
OSB,20001,ADVANCED BIOMEDICAL,2000024365,8/18/22,01 01 01,Annual Inspection of Medical/Clinical In,93800,,0,-252,0,0,4,2023
OSB,20001,ADVANCED BIOMEDICAL,2000024365,8/18/22,02 01 01,Annual Inspection of Lab Medical Instruc,93800,,0,-576,0,0,4,2023
OSB,20001,ADVANCED BIOMEDICAL,2000027032,8/21/23,01 01 01,Annual Inspection of Medical/clinical In,93800,,0,"3,168.00",0,0,2,2023
OSB,20001,ADVANCED BIOMEDICAL,2000027032,8/21/23,01 01 01,Annual Inspection of Medical/clinical In,93800,,0,"3,124.00",0,0,3,2023
OSB,20001,ADVANCED BIOMEDICAL,2000027032,8/21/23,02 01 01,Annual Inspection Of Lab Instruments,93800,,0,660,0,0,2,2023
OSB,20001,ADVANCED BIOMEDICAL,2000027032,8/21/23,03 01 01,Travel Time,93800,,0,95,0,0,2,2023
OSB,20001,ADVANCED BIOMEDICAL,2000027032,8/21/23,03 01 01,Travel Time,93800,,0,380,0,0,3,2023
,32427,ADVANCED MEASUREMENT TECH,2000027176,9/11/23,01 01 01,DSPEC-502A - with MAESTRO-Pro Software t,49000,,"33,911.53",0,0,0,3,2023
,32427,ADVANCED MEASUREMENT TECH,2000027176,9/11/23,01 01 02,DSPEC-502A - with MAESTRO-Pro Software t,49000,,"2,357.48",0,0,0,3,2023
,32427,ADVANCED MEASUREMENT TECH,2000027176,9/11/23,02 01 01,DSPEC-50A - Advanced with MAESTRO-Pro So,49000,,"19,965.20",0,0,0,3,2023
,32427,ADVANCED MEASUREMENT TECH,2000027176,9/11/23,02 01 02,DSPEC-50A - Advanced with MAESTRO-Pro So,49000,,"1,387.95",0,0,0,3,2023
,32427,ADVANCED MEASUREMENT TECH,2000027176,9/11/23,03 01 01,266 - Photomultiplier base,49000,,"6,161.85",0,0,0,3,2023
,32427,ADVANCED MEASUREMENT TECH,2000027176,9/11/23,03 01 02,266 - Photomultiplier base,49000,,428.62,0,0,0,3,2023
,32427,ADVANCED MEASUREMENT TECH,2000027176,9/11/23,04 01 01,Shipping,49000,,116.88,0,0,0,3,2023
,32427,ADVANCED MEASUREMENT TECH,2000027176,9/11/23,04 01 02,Shipping,49000,,8.12,0,0,0,3,2023
,53694,AEROCRAFTED LLC-WTHD,2000022484,10/20/21,03 01 01,"Hangar Rental Lease site ""Q"" #38 from Ju",98100,,0,"-10,000.00",0,0,4,2023
,53694,AEROCRAFTED LLC-WTHD,2000022484,10/20/21,04 01 01,Internet Service,96200,,0,"-3,000.00",0,0,4,2023
,53694,AEROCRAFTED LLC-WTHD,2000022484,10/20/21,05 01 01,"Hangar Rental Lease site ""Q"" #38 from Ju",98100,,0,"10,000.00",0,0,4,2023
,53694,AEROCRAFTED LLC-WTHD,2000022484,10/20/21,06 01 01,Internet Service,96200,,0,"3,000.00",0,0,4,2023
,46193,AET SERVICES INC DBA ORKI,2000015272,12/3/18,13 01 01,University Housing Pest Control Services,96200,,0,"40,559.92",0,0,1,2023
,46193,AET SERVICES INC DBA ORKI,2000015272,12/3/18,15 01 01,Termite Treatment CV Romualdo 705 Living,96200,,0,275,0,0,7,2023
,46193,AET SERVICES INC DBA ORKI,2000015272,12/3/18,16 01 01,Monthly pest control for three (3) extra,96200,,0,"10,834.98",0,0,9,2023
,54889,AG-CON CONSTRUCTION INC.,2000026800,8/25/23,01 01 01,Labor,15000,,"12,692.00",0,0,0,2,2023
,54889,AG-CON CONSTRUCTION INC.,2000026800,8/25/23,02 01 01,Materials,15000,,"5,689.00",0,0,0,2,2023
,54889,AG-CON CONSTRUCTION INC.,2000026800,8/25/23,03 01 01,Freight,15000,,975,0,0,0,2,2023
,54889,AG-CON CONSTRUCTION INC.,2000026800,8/25/23,04 01 01,Sales Tax,15000,,497.79,0,0,0,2,2023
CAL/LOC,304,AGGSONS PAINT & GLASS,2000026765,7/19/23,01 01 01,2 windows @ 24'x42' 2 windows @ 24'x62 1,96200,,0,"5,546.97",0,0,1,2023
CAL/LOC,304,AGGSONS PAINT & GLASS,2000026765,7/19/23,02 01 01,Labor for installation of windows,96200,,0,"3,500.00",0,0,1,2023
CAL/LOC,304,AGGSONS PAINT & GLASS,2000027746,11/27/23,01 01 01,"18"" x 52"" Replacement Insulated Glass Un",96200,,0,557.7,0,0,5,2023
CAL/LOC,304,AGGSONS PAINT & GLASS,2000027746,11/27/23,02 01 01,Labor,96200,,0,450,0,0,5,2023
,54398,"AGILE HUMANITIES AGENCY,",2000027469,10/16/23,01 01 01,Project Services/Hosting Contract 2023-2,96200,,0,"14,760.00",0,0,4,2023
,33314,AGILE SPORTS TECHNOLOGIES,2000022076,8/24/21,04 01 01,Volleymetrics Elite Subscription FY 23-2,57800,,"7,200.00",0,0,0,2,2023
,33314,AGILE SPORTS TECHNOLOGIES,2000022076,8/24/21,05 01 01,Sport Code Pro Subscription Basketball,57800,,"1,701.00",0,0,0,2,2023
,33314,AGILE SPORTS TECHNOLOGIES,2000022747,12/2/21,03 01 01,Hudl BVB Year 3 - 7/1/23-6/30/24 - add $,96200,,0,"7,200.00",0,0,1,2023
,33314,AGILE SPORTS TECHNOLOGIES,2000026778,7/18/23,01 01 01,FY 23-24 SportsCode Pro,96200,,0,"3,969.00",0,0,1,2023
,33314,AGILE SPORTS TECHNOLOGIES,2000026778,7/18/23,02 01 01,FY 23-24 SportsCode Pro Review,96200,,0,"6,804.00",0,0,1,2023
CAL,1510,AGILENT TECHNOLOGIES,2000027384,10/11/23,01 01 01,800TS abs READER with Tocuhscreen.,49500,,"6,004.85",0,0,0,4,2023
CAL,1510,AGILENT TECHNOLOGIES,2000027384,10/11/23,02 01 01,Shipping,96200,,0,180.14,0,0,4,2023
,57218,AHW LLC-WTHD,2000027479,10/19/23,01 01 01,Guest Speaker,96200,,0,"1,500.00",0,0,4,2023
CAL,1843,AIR TREATMENT CORP,2000028136,2/9/24,01 01 01,ABB Model: ACH580-PCR-077A-4+B056 drive,57800,,"26,694.53",0,0,0,8,2023
CAL,1843,AIR TREATMENT CORP,2000028263,2/22/24,01 01 01,ABB Model ACH580-PCR-096A-4+B056 (shippi,57800,,"13,969.31",0,0,0,8,2023
,58001,AIRESAFE INTERNATIONAL US,2000028317,3/12/24,01 01 01,CUST001 CAT 926M Dual Hepa System TS Dis,7000,,"5,938.43",0,0,0,9,2023
,58001,AIRESAFE INTERNATIONAL US,2000028317,3/12/24,02 01 01,200031 Inpress C02 Sensor POD/Optional,7000,,765.77,0,0,0,9,2023
,58001,AIRESAFE INTERNATIONAL US,2000028317,3/12/24,03 01 01,CUST002,7000,,"2,230.80",0,0,0,9,2023
NA,11739,"AIRGAS USA, LLC",2000027304,9/21/23,01 01 01,Air gas service for Athletics Marketing,96200,,0,"3,217.50",0,0,3,2023
NA,11739,"AIRGAS USA, LLC",2000027800,1/3/24,01 01 01,"BuildPro Alpha 5/8 Welding Table (72"" X",54500,,"2,596.53",0,0,0,7,2023
NA,11739,"AIRGAS USA, LLC",2000027800,1/3/24,01 01 02,"BuildPro Alpha 5/8 Welding Table (72"" X",54500,,"2,596.52",0,0,0,7,2023
NA,11739,"AIRGAS USA, LLC",2000027800,1/3/24,02 01 01,"BuildPro Alpha 5/8 Welding Table (72"" X",54500,,"2,951.25",0,0,0,7,2023
NA,11739,"AIRGAS USA, LLC",2000027800,1/3/24,02 01 02,"BuildPro Alpha 5/8 Welding Table (72"" X",54500,,"2,951.25",0,0,0,7,2023
NA,11739,"AIRGAS USA, LLC",2000027800,1/3/24,03 01 01,BuildPro 5/8 Fixturing Kit 149 piece,54500,,"4,864.86",0,0,0,7,2023
NA,11739,"AIRGAS USA, LLC",2000027800,1/3/24,03 01 02,BuildPro 5/8 Fixturing Kit 149 piece,54500,,"4,864.86",0,0,0,7,2023
,55653,AIRPRO INC.,2000027833,12/15/23,01 01 01,PJ7439 purchase equipment (use sales tax,57800,,"10,429.69",0,0,0,6,2023
,55653,AIRPRO INC.,2000027833,12/15/23,02 01 01,Freight,57800,,"1,500.00",0,0,0,6,2023
,55653,AIRPRO INC.,2000027833,12/15/23,03 01 01,35% Deposit,57800,,"5,615.99",0,0,0,6,2023
,35255,AKINDI INC,2000026687,7/12/23,01 01 01,40000 Sheet Akindi License: July 1 2023,96200,,0,"14,800.00",0,0,1,2023
LOC,9929,ALAN R MACMEEKIN DBA ALAN,2000025397,3/1/23,01 01 01,REPAIR BLINDS IN DEXTER 208209210 (inclu,96200,,0,-850,0,0,9,2023
LOC,9929,ALAN R MACMEEKIN DBA ALAN,2000026445,5/31/23,01 01 01,REPAIR EXISTING WOOD SHUTTERS TO NEW WOR,96200,,0,-410,0,0,9,2023
LOC,9929,ALAN R MACMEEKIN DBA ALAN,2000026730,7/25/23,01 01 01,Window Screens Proposal 18282 dated 4/29,96200,,0,500,0,0,1,2023
LOC,9929,ALAN R MACMEEKIN DBA ALAN,2000026730,7/25/23,02 01 01,Material per proposal 18282 dated 4/29/2,57800,,"7,293.00",0,0,0,1,2023
LOC,9929,ALAN R MACMEEKIN DBA ALAN,2000027001,8/14/23,01 01 01,Honeycomb Shades - Top Down/Bottom Up Pe,57800,,"6,006.00",0,0,0,2,2023
LOC,9929,ALAN R MACMEEKIN DBA ALAN,2000027001,8/14/23,02 01 01,Labor To Install Top Down/Bottom Up Shad,57800,,500,0,0,0,2,2023
LOC,9929,ALAN R MACMEEKIN DBA ALAN,2000027002,8/14/23,01 01 01,Adjust and repair existing Mecho Roller,96200,,0,"1,440.00",0,0,2,2023
LOC,9929,ALAN R MACMEEKIN DBA ALAN,2000027852,12/15/23,01 01 01,(2) Motor and Wall Control,57800,,"2,531.10",0,0,0,6,2023
LOC,9929,ALAN R MACMEEKIN DBA ALAN,2000027852,12/15/23,02 01 01,Replacement Shade Cloth 6' x 20',57800,,"1,201.20",0,0,0,6,2023
LOC,9929,ALAN R MACMEEKIN DBA ALAN,2000028337,3/5/24,01 01 01,Replace 2 existing shades with mecho sha,96200,,0,"1,720.00",0,0,9,2023
LOC,9929,ALAN R MACMEEKIN DBA ALAN,2000028357,3/11/24,01 01 01,Window Blinds,87000,,750.75,0,0,0,9,2023
LOC,9929,ALAN R MACMEEKIN DBA ALAN,2000028357,3/11/24,02 01 01,Installation,87000,,200,0,0,0,9,2023
,57210,"ALCARAZ,IVAN-WTHD",2000027494,10/23/23,01 01 01,Music Entertainment for CultureFest 10/2,96200,,0,"1,600.00",0,0,4,2023
,22271,"ALEXANDER,BRIAN-WTHD",2000025425,1/23/23,01 01 01,Academic Year 2023 Piano Tuning,96200,,0,"-1,525.00",0,0,3,2023
,22271,"ALEXANDER,BRIAN-WTHD",2000027630,11/8/23,01 01 01,Tune and voice Steinway D B in room 45-2,96200,,0,250,0,0,5,2023
,22271,"ALEXANDER,BRIAN-WTHD",2000027630,11/8/23,02 01 01,Fall 2023 Piano Tuning,96200,,0,250,0,0,5,2023
,22271,"ALEXANDER,BRIAN-WTHD",2000027630,11/8/23,02 01 01,Fall 2023 Piano Tuning,96200,,0,-250,0,0,12,2023
,43541,"ALIVETEK, INC.",2000027942,1/24/24,01 01 01,Level 2 Year 1 - 12/1/2023,96200,,0,"2,250.00",0,0,7,2023
,43541,"ALIVETEK, INC.",2000027942,1/24/24,02 01 01,Hazing Prevention 101 Course College Edi,96200,,0,"4,500.00",0,0,7,2023
,43541,"ALIVETEK, INC.",2000027942,1/24/24,03 01 01,Fraternity & Sorority Life (Module) Year,96200,,0,900,0,0,7,2023
,43541,"ALIVETEK, INC.",2000027942,1/24/24,04 01 01,Customizations/Technology Add Ons Year 1,96200,,0,900,0,0,7,2023
,40640,"ALJARRAH,FATHI-WTHD",2000027455,10/10/23,01 01 01,Fall 2023 Arab Music Ensemble Concert Gu,96200,,0,500,0,0,4,2023
,40640,"ALJARRAH,FATHI-WTHD",2000028286,2/29/24,01 01 01,Winter 2024 Arab Music Ensemble Concert,96200,,0,500,0,0,8,2023
,40640,"ALJARRAH,FATHI-WTHD",2000028286,2/29/24,02 01 01,Spring 2024 Arab Music Ensemble Concert,96200,,0,500,0,0,8,2023
,34575,ALL ABOUT EVENTS INC,2000025701,3/6/23,01 01 01,Bus Tubs,57800,,-82.5,0,0,0,12,2023
CAL,946,ALL AMERICAN SPORTS CORP,2000025864,3/22/23,11 01 01,Reconditioning for all three helmets est,57800,,"14,177.42",0,0,0,5,2023
,55304,ALL PRIVATE UTILITY LOCAT,2000027209,9/12/23,01 01 01,MJ0086 Chumash Renovation - LINE LOCATIN,96200,,0,"6,000.00",0,0,3,2023
,55304,ALL PRIVATE UTILITY LOCAT,2000027209,9/12/23,01 01 01,MJ0086 Chumash Renovation - LINE LOCATIN,96200,,0,"-1,200.00",0,0,4,2023
,55304,ALL PRIVATE UTILITY LOCAT,2000027209,9/12/23,02 01 01,Change Order #1 Spanos Concessions Line,96200,,0,"1,200.00",0,0,4,2023
,56969,"ALL-FILL,INC",2000027055,8/18/23,01 01 01,Filler Model B-600 w/ Accessories,32000,,"26,758.88",0,0,0,3,2023
,56969,"ALL-FILL,INC",2000027055,8/18/23,01 01 01,Filler Model B-600 w/ Accessories,32000,,-812.19,0,0,0,4,2023
,56969,"ALL-FILL,INC",2000027055,8/18/23,02 01 01,Capacitance Level Control,32000,,"2,139.64",0,0,0,3,2023
,56969,"ALL-FILL,INC",2000027055,8/18/23,02 01 01,Capacitance Level Control,32000,,-144.64,0,0,0,4,2023
,56969,"ALL-FILL,INC",2000027055,8/18/23,03 01 01,Dust Shroud,32000,,589.88,0,0,0,3,2023
,56969,"ALL-FILL,INC",2000027055,8/18/23,03 01 01,Dust Shroud,32000,,-39.88,0,0,0,4,2023
,56969,"ALL-FILL,INC",2000027055,8/18/23,04 01 01,Shipping Charges,32000,,650,0,0,0,3,2023
,53640,ALLIANCE TECHNICAL GROUP,2000022416,11/14/22,03 01 01,Emissions testing of various equipment o,96200,,0,"40,000.00",0,0,5,2023
,39039,"ALMEIDA,DANIEL J-WTHD",2000026754,7/13/23,01 01 01,Clifton Strengths Workshop,96200,,0,"3,781.53",0,0,1,2023
,39039,"ALMEIDA,DANIEL J-WTHD",2000028140,2/20/24,01 01 01,RSE staff professional development,96200,,0,"3,000.00",0,0,8,2023
,39039,"ALMEIDA,DANIEL J-WTHD",2000028140,2/20/24,02 01 01,Clifton Strength Codes,96200,,0,100,0,0,8,2023
,57400,"ALNASSAR,ABDULAZIZ T A A",2000027787,12/11/23,01 01 01,Archival Research ¿Kuwaiti Newspapers Du,96200,,0,"3,000.00",0,0,6,2023
OSB,1638,ALPHA FIRE SPRINKLER CORP,2000026908,8/11/23,01 01 01,MJ0072 Bldg. 070-Fire system design per,96200,,0,"9,575.00",0,0,2,2023
,57178,ALPHA LIT CENTRAL COAST L,2000027466,10/17/23,01 01 01,"Rental of Marquee letters ""TRANSFERS"" Gr",3700,,665,0,0,0,4,2023
,58014,ALPHA SOURCE LLC,2000028258,3/14/24,01 01 01,DXA Maintenance Contract,93600,,0,"1,340.00",0,0,9,2023
,58078,"ALPHA SPECTRA, INC.",2000028400,3/22/24,01 01 01,POB-12(980)-14-Adapter,49000,,"2,415.27",0,0,0,9,2023
,58078,"ALPHA SPECTRA, INC.",2000028400,3/22/24,02 01 01,POB-12(980)-14-Adapter,49000,,"2,415.27",0,0,0,9,2023
,58078,"ALPHA SPECTRA, INC.",2000028400,3/22/24,03 01 01,Shipping cost per revised quote dated 3/,49000,,120,0,0,0,9,2023
,52907,ALTAIR ENGINEERING INC.,2000028047,2/19/24,01 01 01,Altair Units EDU - Multi-Physics / Mecha,92000,,0,0,0,"4,501.80",8,2023
,52907,ALTAIR ENGINEERING INC.,2000028047,2/19/24,01 01 02,Altair Units EDU - Multi-Physics / Mecha,92000,,0,0,0,"3,698.20",8,2023
,36164,ALVAREZ & MARSAL PUBLIC S,2000009326,6/17/15,01 01 01,P3 Advisory Services - Professional Fee',91800,,0,-102.49,0,0,9,2023
,36164,ALVAREZ & MARSAL PUBLIC S,2000009326,6/17/15,02 01 01,Travel Related Expenses for Advisory Ser,91800,,0,"-14,010.05",0,0,9,2023
,36315,AM. SOC. OF AG. AND BIOLO,2000026680,7/6/23,01 01 01,Engine for the ASABE 1/4 Scale Tractor S,2200,,"3,200.00",0,0,0,1,2023
,3859,AMER ASSN OF STATE COLLEG,2000026781,7/18/23,01 01 01,AASCU Membership Renewal,96200,,0,"25,765.00",0,0,1,2023
,3859,AMER ASSN OF STATE COLLEG,2000026781,7/18/23,02 01 01,Millennium Leadership Initiative Renewal,96200,,0,"3,000.00",0,0,1,2023
,69,AMER COUNCIL ON EDUC,2000026782,7/18/23,01 01 01,2024 ACE Membership Dues - October 2023,96200,,0,"19,571.00",0,0,1,2023
,3661,AMER EXPRESS CO,2000018585,7/3/19,02 01 01,FY 19-20 HEALTH CTR MERCHANT FEES,94600,,0,-7.27,0,0,3,2023
,3661,AMER EXPRESS CO,2000026842,7/25/23,01 01 01,FY 23-24 PACHECO POST MERCHANT FEES,94600,,0,10,0,0,1,2023
,3661,AMER EXPRESS CO,2000026842,7/25/23,02 01 01,FY 23-24  NSTP SLO DAYS MERCHANT FEES,94600,,0,"1,200.00",0,0,1,2023
,3661,AMER EXPRESS CO,2000026842,7/25/23,02 01 01,FY 23-24  NSTP SLO DAYS MERCHANT FEES,94600,,0,"2,000.00",0,0,6,2023
,3661,AMER EXPRESS CO,2000026842,7/25/23,03 01 01,FY 23-24 NSTP WOW MERCHANT FEES,94600,,0,"1,200.00",0,0,1,2023
,3661,AMER EXPRESS CO,2000026842,7/25/23,03 01 01,FY 23-24 NSTP WOW MERCHANT FEES,94600,,0,"2,000.00",0,0,6,2023
,3661,AMER EXPRESS CO,2000026842,7/25/23,04 01 01,FY 23-24 TAPS LUKE,94600,,0,400,0,0,1,2023
