Supplier_Type,Supplier_ID,Supplier_Name,PO_ID,PO_Date,Line_Item,Description,NIGP_Code,Order_Type,Goods_Amount,Services_Amount,Construction_Amount,IT_Amount,Accounting_Period,Fiscal_Year,Shipping_Cost,Carrier,Consolidation_Opportunity,Supplier_Diversity_Category,Geographic_Location,Lead_Time_Days,Order_Frequency,Total_Amount,Cost_Per_Unit,Quantity
OSB,34932,A-TOWN AV INC,2000024487,2022-09-07,01-01-02,Equipment 180-331,88000,Goods,399.04,0.0,0.0,0.0,12,2023,45.282779368045766,Ground,Low,OSB,California,9,Quarterly,399.04,399.04,1
OSB,34932,A-TOWN AV INC,2000024487,2022-09-07,02-01-01,Labor 180-331,96200,Service,0.0,235.04,0.0,0.0,4,2023,27.305556147057306,UPS,Low,OSB,California,8,As-Needed,235.04,235.04,1
OSB,34932,A-TOWN AV INC,2000024487,2022-09-07,02-01-02,Labor 180-331,96200,Service,0.0,70.21,0.0,0.0,4,2023,7.672620430488312,UPS,Low,OSB,California,5,As-Needed,70.21,70.21,1
OSB,34932,A-TOWN AV INC,2000024487,2022-09-07,03-01-01,Sales Tax,88000,Goods,90.28,0.0,0.0,0.0,12,2023,8.287902755622666,Ground,Low,OSB,California,5,As-Needed,90.28,90.28,1
OSB,34932,A-TOWN AV INC,2000024487,2022-09-07,03-01-02,Sales Tax,88000,Goods,26.96,0.0,0.0,0.0,12,2023,2.4509779062309933,UPS,Low,OSB,California,7,As-Needed,26.96,26.96,1
OSB,34932,A-TOWN AV INC,2000024488,2022-09-07,01-01-01,Equipment 53-110,88000,Goods,1516.08,0.0,0.0,0.0,4,2023,94.79122893611171,FedEx,Medium,OSB,California,7,Quarterly,1516.08,1516.08,1
OSB,34932,A-TOWN AV INC,2000024488,2022-09-07,02-01-01,Labor 53-110,96200,Service,0.0,26.4,0.0,0.0,4,2023,2.6790623215082414,UPS,Low,OSB,California,7,As-Needed,26.4,26.4,1
OSB,34932,A-TOWN AV INC,2000024488,2022-09-07,03-01-01,Sales Tax,88000,Goods,109.91,0.0,0.0,0.0,4,2023,11.448758449825895,Ground,Low,OSB,California,8,As-Needed,109.91,109.91,1
OSB,34932,A-TOWN AV INC,2000024498,2022-09-07,01-01-01,AV Equipment for 53-115,88000,Goods,502.28,0.0,0.0,0.0,7,2023,42.30040369617168,UPS,Low,OSB,California,6,Quarterly,502.28,502.28,1
OSB,34932,A-TOWN AV INC,2000024498,2022-09-07,02-01-01,AV Labor for 53-115,96200,Service,0.0,315.15,0.0,0.0,4,2023,36.71778672009565,UPS,Low,OSB,California,5,As-Needed,315.15,315.15,1
OSB,34932,A-TOWN AV INC,2000024498,2022-09-07,03-01-01,Sales Tax,88000,Goods,36.41,0.0,0.0,0.0,7,2023,3.066585641932622,Ground,Low,OSB,California,8,As-Needed,36.41,36.41,1
OSB,34932,A-TOWN AV INC,2000025237,2022-12-15,01-01-01,Systems Check Labor,96200,Service,0.0,340.0,0.0,0.0,6,2023,40.464094790405845,UPS,Low,OSB,California,5,As-Needed,340.0,340.0,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,01-01-01,Apple TV 4K 32GB,88000,Goods,510.42,0.0,0.0,0.0,5,2023,46.95497096449572,Ground,Medium,OSB,California,9,Monthly,510.42,510.42,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,01-01-01,Apple TV 4K 32GB,88000,Goods,322.0,0.0,0.0,0.0,10,2023,32.72339029344615,Ground,Medium,OSB,California,8,Monthly,322.0,322.0,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,02-01-01,Backer Board,88000,Goods,7.86,0.0,0.0,0.0,5,2023,0.6696849586583609,Ground,Low,OSB,California,6,Monthly,7.86,7.86,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,02-01-01,Backer Board,88000,Goods,43.42,0.0,0.0,0.0,10,2023,4.852471619947044,UPS,Low,OSB,California,6,Monthly,43.42,43.42,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,03-01-01,Shipping Cost,88000,Service,2614.22,0.0,0.0,0.0,5,2023,213.7761433736341,FedEx,High,OSB,California,5,As-Needed,2614.22,2614.22,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,03-01-01,Shipping Cost,88000,Service,2103.8,0.0,0.0,0.0,10,2023,185.32285436605753,FedEx,High,OSB,California,9,As-Needed,2103.8,2103.8,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,04-01-01,AudioFetch Express,88000,Goods,441.15,0.0,0.0,0.0,10,2023,40.28080379493596,UPS,Medium,OSB,California,8,Quarterly,441.15,441.15,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,05-01-01,CMS012018W,88000,Goods,628.55,0.0,0.0,0.0,5,2023,69.93887035125313,UPS,Medium,OSB,California,9,Quarterly,628.55,628.55,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,05-01-01,CMS012018W,88000,Goods,472.55,0.0,0.0,0.0,10,2023,53.94814114392082,Ground,Medium,OSB,California,5,Quarterly,472.55,472.55,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,06-01-01,RPMA1W,88000,Goods,48.35,0.0,0.0,0.0,5,2023,4.9835872054145245,UPS,Low,OSB,California,7,Monthly,48.35,48.35,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,06-01-01,RPMA1W,88000,Goods,303.65,0.0,0.0,0.0,10,2023,32.84386482864675,UPS,Low,OSB,California,7,Monthly,303.65,303.65,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,07-01-01,1 Port Faceplate Alpine White,88000,Goods,40.53,0.0,0.0,0.0,5,2023,3.995701294212515,Ground,Low,OSB,California,5,Monthly,40.53,40.53,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,07-01-01,1 Port Faceplate Alpine White,88000,Goods,34.05,0.0,0.0,0.0,10,2023,3.936154611779228,Ground,Low,OSB,California,7,Monthly,34.05,34.05,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,08-01-01,4 Port Wall Plate Alpine White,88000,Goods,491.71,0.0,0.0,0.0,5,2023,45.32414283172541,UPS,Medium,OSB,California,5,Monthly,491.71,491.71,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,08-01-01,4 Port Wall Plate Alpine White,88000,Goods,486.19,0.0,0.0,0.0,10,2023,43.14755503979273,UPS,Medium,OSB,California,6,Monthly,486.19,486.19,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,09-01-01,CAT6 Keystone Alpine White,88000,Goods,128.27,0.0,0.0,0.0,5,2023,12.440312258648285,UPS,Low,OSB,California,5,Monthly,128.27,128.27,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,09-01-01,CAT6 Keystone Alpine White,88000,Goods,79.32,0.0,0.0,0.0,10,2023,6.869306820673886,UPS,Low,OSB,California,9,Monthly,79.32,79.32,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,10-01-01,Item #760238127,88000,Goods,66.92,0.0,0.0,0.0,5,2023,7.839362592037664,Ground,Low,OSB,California,5,Monthly,66.92,66.92,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,10-01-01,Item #760238127,88000,Goods,19.78,0.0,0.0,0.0,10,2023,2.2477754217156973,UPS,Low,OSB,California,7,Monthly,19.78,19.78,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,11-01-01,USL600-GRN,88000,Goods,29.74,0.0,0.0,0.0,5,2023,3.4009831484318047,UPS,Low,OSB,California,5,Monthly,29.74,29.74,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,11-01-01,USL600-GRN,88000,Goods,15.7,0.0,0.0,0.0,10,2023,1.4970870534311767,UPS,Low,OSB,California,5,Monthly,15.7,15.7,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,12-01-01,Item #79884,88000,Goods,118.05,0.0,0.0,0.0,5,2023,11.400195859393454,UPS,Low,OSB,California,5,Monthly,118.05,118.05,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,12-01-01,Item #79884,88000,Goods,744.75,0.0,0.0,0.0,10,2023,61.9163029967624,Ground,Medium,OSB,California,8,Monthly,744.75,744.75,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,13-01-01,Da-Lite Extension Wall Brackets,88000,Goods,137.56,0.0,0.0,0.0,5,2023,14.184192199609923,UPS,Low,OSB,California,6,Monthly,137.56,137.56,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,13-01-01,Da-Lite Extension Wall Brackets,88000,Goods,116.13,0.0,0.0,0.0,10,2023,11.469131492801418,UPS,Low,OSB,California,5,Monthly,116.13,116.13,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,14-01-01,Powerlite L730U Laser Projector,88000,Goods,7.86,0.0,0.0,0.0,5,2023,0.9040973838977713,Ground,Low,OSB,California,6,Quarterly,7.86,7.86,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,14-01-01,Powerlite L730U Laser Projector,88000,Goods,3833.39,0.0,0.0,0.0,10,2023,256.58080760040286,Freight,High,OSB,California,6,Quarterly,3833.39,3833.39,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,15-01-01,Item #70-1244-22,88000,Goods,80.0,0.0,0.0,0.0,10,2023,8.742576243588355,UPS,Low,OSB,California,8,Monthly,80.0,80.0,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,16-01-01,Item #79-2557-01,88000,Goods,8.61,0.0,0.0,0.0,5,2023,0.8366899769647176,UPS,Low,OSB,California,6,Monthly,8.61,8.61,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,16-01-01,Item #79-2557-01,88000,Goods,710.14,0.0,0.0,0.0,10,2023,61.96131716503824,FedEx,Medium,OSB,California,9,Monthly,710.14,710.14,1
OSB,34932,A-TOWN AV INC,2000026095,2023-11-14,17-01-01,Item #DTP T DWP 4K 332D,88000,Goods,80.07,0.0,0.0,0.0,5,2023,8.690142733328669,UPS,Low,OSB,California,9,Monthly,80.07,80.07,1
