order_value,current_shipping_cost,current_carrier,lead_time,supplier_diversity,consolidation_score,shipping_ratio,order_frequency,geographic_zone,alternative_cost_ups,alternative_cost_fedex,alternative_cost_usps,potential_savings,optimization_opportunity
30498.0,3049.8,Electronic,1,DVBE,3,0.1,Annual,California,0,0,14.874444444444444,3034.9255555555555,1
14880.0,1488.0,Electronic,1,DVBE,2,0.1,Annual,California,0,0,14.874444444444444,1473.1255555555556,1
9000.0,900.0,Ground,7,DVBE,2,0.1,As-Needed,California,0,0,14.874444444444444,885.1255555555556,1
1231.06,123.11,UPS,14,OSB,2,0.10000324923236886,As-Needed,California,0,0,14.874444444444444,108.23555555555555,1
1218.12,121.81,Freight,21,OSB,2,0.09999835812563623,Quarterly,California,0,0,14.874444444444444,106.93555555555555,1
399.04,39.9,Freight,21,OSB,1,0.09998997594226142,Quarterly,California,0,0,14.874444444444444,25.025555555555556,1
235.04,23.5,Ground,7,OSB,1,0.09998298162014976,As-Needed,California,0,0,14.874444444444444,8.625555555555556,1
70.21,7.02,Ground,7,OSB,1,0.09998575701467027,As-Needed,California,0,0,14.874444444444444,0.0,0
90.28,0.0,0,0,OSB,1,0.0,As-Needed,California,0,0,14.874444444444444,0.0,0
26.96,0.0,0,0,OSB,1,0.0,As-Needed,California,0,0,14.874444444444444,0.0,0
1516.08,151.61,Freight,21,OSB,2,0.10000131919159941,Quarterly,California,0,0,14.874444444444444,136.73555555555558,1
26.4,2.64,Ground,7,OSB,1,0.1,As-Needed,California,0,0,14.874444444444444,0.0,0
109.91,0.0,0,0,OSB,1,0.0,As-Needed,California,0,0,14.874444444444444,0.0,0
502.28,50.23,UPS,14,OSB,1,0.10000398184279685,Quarterly,California,0,0,14.874444444444444,35.355555555555554,1
315.15,31.52,Ground,7,OSB,1,0.10001586546089164,As-Needed,California,0,0,14.874444444444444,16.645555555555553,1
36.41,0.0,0,0,OSB,1,0.0,As-Needed,California,0,0,14.874444444444444,0.0,0
340.0,34.0,Ground,7,OSB,1,0.1,As-Needed,California,0,0,14.874444444444444,19.125555555555557,1
510.42,51.04,UPS,7,OSB,2,0.09999608165824223,Monthly,California,0,0,14.874444444444444,36.16555555555556,1
322.0,32.2,UPS,7,OSB,2,0.1,Monthly,California,0,0,14.874444444444444,17.32555555555556,1
7.86,0.79,Ground,3,OSB,1,0.1005089058524173,Monthly,California,0,0,14.874444444444444,0.0,0
43.42,4.34,Ground,3,OSB,1,0.09995393827729156,Monthly,California,0,0,14.874444444444444,0.0,0
2614.22,261.42,Freight,14,OSB,3,0.09999923495344692,As-Needed,California,0,0,14.874444444444444,246.54555555555558,1
2103.8,210.38,Freight,14,OSB,3,0.09999999999999999,As-Needed,California,0,0,14.874444444444444,195.50555555555556,1
441.15,44.12,UPS,10,OSB,2,0.10001133401337413,Quarterly,California,0,0,14.874444444444444,29.245555555555555,1
628.55,62.86,UPS,10,OSB,2,0.10000795481664149,Quarterly,California,0,0,14.874444444444444,47.98555555555556,1
472.55,47.26,UPS,10,OSB,2,0.10001058089091101,Quarterly,California,0,0,14.874444444444444,32.385555555555555,1
48.35,4.84,Ground,5,OSB,1,0.10010341261633919,Monthly,California,0,0,14.874444444444444,0.0,0
303.65,30.37,Ground,5,OSB,1,0.1000164663263626,Monthly,California,0,0,14.874444444444444,15.495555555555557,1
40.53,4.05,Ground,5,OSB,1,0.09992598075499629,Monthly,California,0,0,14.874444444444444,0.0,0
34.05,3.41,Ground,5,OSB,1,0.10014684287812042,Monthly,California,0,0,14.874444444444444,0.0,0
491.71,49.17,Ground,7,OSB,2,0.09999796628093796,Monthly,California,0,0,14.874444444444444,34.29555555555556,1
486.19,48.62,Ground,7,OSB,2,0.1000020568090664,Monthly,California,0,0,14.874444444444444,33.745555555555555,1
128.27,12.83,Ground,5,OSB,1,0.1000233881655882,Monthly,California,0,0,14.874444444444444,0.0,0
79.32,7.93,Ground,5,OSB,1,0.09997478567826526,Monthly,California,0,0,14.874444444444444,0.0,0
66.92,6.69,Ground,5,OSB,1,0.09997011356843993,Monthly,California,0,0,14.874444444444444,0.0,0
19.78,1.98,Ground,5,OSB,1,0.10010111223458037,Monthly,California,0,0,14.874444444444444,0.0,0
29.74,2.97,Ground,5,OSB,1,0.09986550100874245,Monthly,California,0,0,14.874444444444444,0.0,0
15.7,1.57,Ground,5,OSB,1,0.1,Monthly,California,0,0,14.874444444444444,0.0,0
118.05,11.81,Ground,7,OSB,1,0.10004235493434986,Monthly,California,0,0,14.874444444444444,0.0,0
744.75,74.48,Ground,7,OSB,2,0.10000671366230279,Monthly,California,0,0,14.874444444444444,59.60555555555556,1
137.56,13.76,Ground,7,OSB,1,0.1000290782204129,Monthly,California,0,0,14.874444444444444,0.0,0
116.13,11.61,Ground,7,OSB,1,0.09997416688194265,Monthly,California,0,0,14.874444444444444,0.0,0
7.86,0.79,UPS,10,OSB,1,0.1005089058524173,Quarterly,California,0,0,14.874444444444444,0.0,0
3833.39,383.34,Freight,14,OSB,3,0.10000026086570894,Quarterly,California,0,0,14.874444444444444,368.4655555555555,1
80.0,8.0,Ground,7,OSB,1,0.1,Monthly,California,0,0,14.874444444444444,0.0,0
8.61,0.86,Ground,5,OSB,1,0.09988385598141696,Monthly,California,0,0,14.874444444444444,0.0,0
710.14,71.01,Ground,7,OSB,2,0.0999943673078548,Monthly,California,0,0,14.874444444444444,56.13555555555556,1
80.07,8.01,Ground,7,OSB,1,0.10003746721618584,Monthly,California,0,0,14.874444444444444,0.0,0
